student_id,first_name,last_name,age,gender,grade_level,attendance_rate,math_score,science_score,english_score,average_score,assignments_completed,behavior_incidents,previous_failures,study_hours_per_week,extracurricular,notify_parents
S0266,Ella,Turner,13,Female,7,71.7,40,85,65,63.33,74.4,3,0,10.2,Yes,Yes
S0267,Abigail,Phillips,13,Female,7,77.0,92,41,87,73.33,89.3,1,1,16.3,Yes,No
S0268,Victoria,Carter,13,Female,7,76.3,92,83,53,76.0,66.3,1,1,19.1,No,Yes
S0269,Lily,Robinson,18,Female,12,83.8,56,41,99,65.33,76.9,3,1,14.4,No,Yes
S0270,Joshua,Clark,18,Male,12,81.4,91,80,48,73.0,74.9,3,2,10.6,Yes,Yes
S0271,Aubrey,Diaz,16,Female,10,58.5,81,43,44,56.0,89.6,2,1,2.9,Yes,Yes
S0272,Grayson,Smith,13,Male,7,91.5,65,73,58,65.33,75.7,0,0,6.6,No,No
S0273,Chloe,Richardson,18,Female,12,81.4,42,68,51,53.67,81.0,2,1,15.1,No,No
S0274,Camila,Brooks,17,Female,11,84.8,63,89,70,74.0,90.8,2,1,10.0,No,No
S0275,Alexander,Adams,17,Male,11,92.3,62,68,74,68.0,98.2,1,1,3.2,No,No
S0276,Abigail,Walker,18,Female,12,75.3,83,100,56,79.67,81.0,1,0,6.0,Yes,No
S0277,Jaxon,Ramirez,14,Male,8,80.8,62,58,62,60.67,61.5,4,0,6.5,No,Yes
S0278,Natalie,Wilson,16,Female,10,86.5,51,58,78,62.33,66.3,2,2,0.8,Yes,Yes
S0279,Charlotte,Perez,13,Female,7,83.9,96,53,52,67.0,85.2,1,0,18.5,Yes,No
S0280,Leah,Young,18,Female,12,73.3,84,81,59,74.67,85.1,0,0,7.4,No,No
S0281,Ava,Campbell,14,Female,8,90.4,93,76,70,79.67,94.3,2,2,7.2,No,No
S0282,Alexander,Williams,16,Male,10,77.4,77,79,45,67.0,64.1,2,0,6.7,Yes,Yes
S0283,Dylan,Torres,17,Male,11,75.6,79,69,68,72.0,90.3,0,0,13.9,Yes,No
S0284,Samuel,Hall,17,Male,11,86.8,82,71,64,72.33,69.1,0,0,13.4,Yes,No
S0285,Camila,Ortiz,12,Female,6,94.1,55,40,67,54.0,66.3,2,1,5.5,No,Yes
S0286,Mila,Kelly,16,Female,10,73.1,78,59,59,65.33,96.9,0,2,4.7,No,Yes
S0287,Lily,Brown,12,Female,6,75.0,63,88,62,71.0,84.6,4,2,8.0,Yes,Yes
S0288,Matthew,Campbell,16,Male,10,89.7,91,97,82,90.0,62.4,2,0,12.8,Yes,No
S0289,Scarlett,Edwards,17,Female,11,85.8,68,82,67,72.33,94.6,3,0,11.7,Yes,No
S0290,Avery,Edwards,13,Female,7,79.4,73,45,41,53.0,91.2,3,1,7.9,Yes,Yes
S0291,Eleanor,Hall,17,Female,11,90.7,45,49,75,56.33,69.8,4,2,9.8,Yes,Yes
S0292,Mateo,Parker,16,Male,10,62.9,94,58,84,78.67,82.1,0,3,0.5,No,Yes
S0293,Eli,Smith,17,Male,11,86.1,40,45,70,51.67,71.9,1,1,5.0,No,No
S0294,Madison,King,13,Female,7,96.9,60,96,77,77.67,87.7,5,1,10.2,Yes,No
S0295,Christopher,Kelly,15,Male,9,84.1,98,97,89,94.67,78.4,0,0,17.3,Yes,No
S0296,Grace,Bailey,17,Female,11,70.4,63,85,91,79.67,87.2,1,1,15.8,Yes,No
S0297,Natalie,Moore,18,Female,12,74.3,41,92,85,72.67,85.3,1,0,0.3,No,No
S0298,Charlotte,Cook,13,Female,7,82.4,97,67,80,81.33,96.4,1,1,6.7,Yes,No
S0299,Lincoln,Taylor,14,Male,8,90.5,61,61,98,73.33,63.1,1,1,4.1,No,No
S0300,Ella,Martin,13,Female,7,92.0,57,58,44,53.0,69.8,2,0,3.0,Yes,Yes
S0301,Hazel,Cox,18,Female,12,69.3,82,85,64,77.0,81.6,3,0,15.0,Yes,Yes
S0302,Leah,Peterson,17,Female,11,79.0,58,70,96,74.67,78.0,6,1,19.1,No,Yes
S0303,Leah,Jones,14,Female,8,87.1,66,88,98,84.0,94.5,0,1,0.8,Yes,No
S0304,Leah,Kim,14,Female,8,85.5,78,58,87,74.33,65.0,0,1,1.6,No,No
S0305,Levi,Hill,14,Male,8,75.9,47,43,94,61.33,74.8,0,2,14.3,Yes,Yes
S0306,Jackson,Johnson,15,Male,9,75.9,88,87,93,89.33,77.3,2,0,16.1,Yes,No
S0307,Elijah,Howard,15,Male,9,84.4,46,79,55,60.0,66.2,3,2,15.9,Yes,Yes
S0308,Leah,Watson,15,Female,9,75.3,53,75,97,75.0,91.9,5,0,1.2,Yes,Yes
S0309,Lily,Carter,13,Female,7,93.2,56,40,96,64.0,90.0,1,4,11.8,No,Yes
S0310,Savannah,Cox,16,Female,10,94.9,67,48,94,69.67,64.0,0,1,5.6,No,Yes
S0311,Sebastian,Cook,16,Male,10,75.2,43,80,57,60.0,96.1,3,0,5.0,Yes,Yes
S0312,Christian,Turner,18,Male,12,89.3,40,98,60,66.0,86.4,2,1,7.3,No,No
S0313,Ava,Cruz,14,Female,8,83.9,42,55,49,48.67,81.5,0,0,17.6,No,No
S0314,Aiden,Torres,16,Male,10,77.0,57,97,95,83.0,84.2,1,0,0.4,Yes,No
S0315,Logan,Thomas,18,Male,12,73.9,51,75,68,64.67,80.3,1,0,17.2,Yes,Yes
S0316,Oliver,Cook,13,Male,7,83.3,84,96,92,90.67,83.5,1,0,3.7,Yes,No
S0317,Theodore,Allen,12,Male,6,84.7,85,80,80,81.67,94.1,2,0,5.6,No,No
S0318,Matthew,Wright,14,Male,8,83.7,70,41,48,53.0,63.6,3,2,0.3,No,Yes
S0319,Mia,Cooper,15,Female,9,92.2,66,65,57,62.67,88.3,2,0,13.1,No,No
S0320,Penelope,Martinez,17,Female,11,88.6,90,58,54,67.33,71.4,1,2,7.8,Yes,Yes
S0321,Luna,Scott,18,Female,12,79.4,52,72,90,71.33,89.4,2,1,16.8,Yes,No
S0322,Camila,Mitchell,13,Female,7,84.4,84,95,68,82.33,67.5,3,1,12.9,No,Yes
S0323,Theodore,Ramos,13,Male,7,80.2,68,84,57,69.67,82.3,0,0,6.6,No,No
S0324,Victoria,Brown,18,Female,12,91.3,44,57,57,52.67,72.3,3,0,15.0,No,Yes
S0325,Aria,Stewart,14,Female,8,74.8,68,46,80,64.67,65.7,2,0,8.9,Yes,Yes
S0326,Ryan,Allen,13,Male,7,83.8,48,94,79,73.67,69.1,0,0,3.4,No,No
S0327,Noah,Carter,13,Male,7,86.8,56,89,100,81.67,83.3,0,3,7.5,No,No
S0328,Hazel,Ramos,15,Female,9,90.3,89,71,95,85.0,63.2,4,0,11.7,No,Yes
S0329,Mason,Green,12,Male,6,88.1,84,81,76,80.33,58.7,2,0,17.4,No,No
S0330,Caleb,Mitchell,15,Male,9,89.3,49,51,54,51.33,71.8,4,0,2.7,No,Yes
S0331,Savannah,Watson,13,Female,7,57.3,51,80,74,68.33,97.6,4,0,9.8,No,Yes
S0332,Sebastian,Edwards,15,Male,9,92.3,80,89,86,85.0,87.6,1,2,2.8,Yes,No
S0333,Abigail,Watson,12,Female,6,82.7,55,66,66,62.33,87.9,2,1,13.1,No,No
S0334,Lucas,Scott,18,Male,12,83.0,40,95,58,64.33,62.7,2,1,6.9,Yes,Yes
S0335,Anthony,Thomas,18,Male,12,74.0,53,62,79,64.67,93.9,1,1,13.7,No,Yes
S0336,Carter,Gutierrez,13,Male,7,68.6,62,60,87,69.67,71.5,1,2,18.2,Yes,Yes
S0337,Lucy,Morales,17,Female,11,76.2,78,79,96,84.33,81.7,2,2,2.9,Yes,Yes
S0338,Jackson,Miller,14,Male,8,97.4,61,74,100,78.33,82.4,1,0,7.7,No,No
S0339,Cameron,Morris,17,Male,11,86.3,89,67,99,85.0,79.1,0,3,1.8,No,No
S0340,Henry,Hall,18,Male,12,89.0,85,87,86,86.0,77.9,2,0,16.6,No,No
S0341,Levi,Murphy,16,Male,10,82.9,42,72,83,65.67,91.5,2,0,18.6,No,No
S0342,Wyatt,Gomez,18,Male,12,68.8,91,56,54,67.0,76.5,3,0,8.9,No,Yes
S0343,Olivia,Nelson,17,Female,11,90.5,95,68,48,70.33,58.2,4,0,18.8,Yes,Yes
S0344,Matthew,Adams,13,Male,7,91.8,67,81,71,73.0,83.0,2,1,13.5,Yes,No
S0345,James,Turner,14,Male,8,88.2,88,71,41,66.67,85.3,0,0,2.2,No,No
S0346,Lucas,Williams,15,Male,9,81.1,68,62,74,68.0,90.7,3,0,10.7,Yes,Yes
S0347,Gabriel,Williams,12,Male,6,63.2,44,60,67,57.0,95.3,0,2,5.2,Yes,Yes
S0348,Camila,Ramirez,16,Female,10,83.5,95,57,44,65.33,77.4,3,1,12.1,Yes,Yes
S0349,Joshua,Reyes,18,Male,12,90.3,59,99,53,70.33,86.7,1,0,2.7,Yes,No
S0350,Christian,Hernandez,15,Male,9,84.0,75,57,89,73.67,83.2,1,1,13.5,Yes,No
S0351,Scarlett,Edwards,14,Female,8,80.1,41,90,82,71.0,68.1,1,0,17.3,Yes,No
S0352,Bella,White,18,Female,12,85.1,51,61,45,52.33,85.1,2,0,9.6,Yes,No
S0353,Logan,Nguyen,17,Male,11,78.5,51,75,45,57.0,73.9,1,0,9.8,No,Yes
S0354,Jackson,Lee,18,Male,12,93.4,81,51,78,70.0,63.5,1,1,4.9,No,No
S0355,Daniel,Parker,12,Male,6,90.3,80,88,78,82.0,75.5,0,2,15.7,Yes,No
S0356,Julian,Perez,13,Male,7,93.2,64,72,54,63.33,91.1,2,2,10.0,No,Yes
S0357,Penelope,Lewis,17,Female,11,91.0,41,81,60,60.67,80.5,1,0,11.0,Yes,No
S0358,Emily,Cook,15,Female,9,84.5,75,42,86,67.67,82.7,1,2,10.8,No,Yes
S0359,Sebastian,Richardson,15,Male,9,89.5,44,45,55,48.0,83.2,0,0,19.9,Yes,No
S0360,Theodore,Hernandez,13,Male,7,69.2,91,59,42,64.0,89.4,1,0,2.8,Yes,Yes
S0361,Penelope,Ramirez,18,Female,12,76.1,82,56,95,77.67,66.3,2,0,17.5,Yes,Yes
S0362,Abigail,Cruz,17,Female,11,84.5,97,80,87,88.0,86.7,0,2,4.6,No,No
S0363,Madison,Harris,18,Female,12,69.9,40,45,87,57.33,99.7,1,0,14.6,Yes,Yes
S0364,Audrey,Evans,16,Female,10,88.7,85,49,40,58.0,73.4,2,1,13.8,No,No
S0365,David,Wright,18,Male,12,85.6,63,61,97,73.67,70.4,1,1,12.9,Yes,No
S0366,Sophia,Nguyen,12,Female,6,87.8,54,90,47,63.67,78.0,4,0,18.9,No,Yes
S0367,Ethan,Baker,12,Male,6,83.6,91,41,62,64.67,62.6,5,1,8.6,No,Yes
S0368,Joseph,Wilson,14,Male,8,94.1,80,40,73,64.33,96.6,0,3,0.5,Yes,Yes
S0369,Mason,Martin,16,Male,10,72.8,52,49,77,59.33,97.3,0,1,16.5,No,Yes
S0370,Victoria,Reyes,16,Female,10,88.8,47,65,64,58.67,91.0,3,0,6.7,Yes,Yes
S0371,Mia,Harris,12,Female,6,79.2,40,98,62,66.67,73.3,1,4,7.0,Yes,Yes
S0372,Lucas,Wright,17,Male,11,75.1,98,94,58,83.33,78.3,2,1,11.1,Yes,No
S0373,Zoey,Jackson,12,Female,6,73.4,69,46,65,60.0,52.9,0,0,13.9,Yes,Yes
S0374,Levi,Ortiz,16,Male,10,89.9,46,51,41,46.0,97.8,1,2,9.2,Yes,Yes
S0375,Christian,Nelson,16,Male,10,78.4,61,47,61,56.33,64.0,3,1,19.9,Yes,Yes
S0376,Mila,Anderson,18,Female,12,76.3,54,73,72,66.33,67.4,2,3,8.3,Yes,Yes
S0377,Anthony,Jones,13,Male,7,97.9,79,42,94,71.67,85.1,4,4,16.8,No,Yes
S0378,Audrey,Watson,13,Female,7,99.1,75,57,94,75.33,84.8,6,3,10.2,Yes,Yes
S0379,Aurora,Taylor,13,Female,7,87.1,80,86,61,75.67,79.7,3,0,11.0,No,No
S0380,Audrey,Martinez,14,Female,8,98.6,75,45,88,69.33,59.4,0,2,3.1,No,Yes
S0381,Jayden,Walker,16,Male,10,68.6,69,73,86,76.0,75.1,3,0,15.8,Yes,Yes
S0382,Lillian,Anderson,17,Female,11,94.0,88,56,49,64.33,72.2,6,3,14.5,Yes,Yes
S0383,Liam,Robinson,17,Male,11,82.6,56,56,72,61.33,60.4,2,2,19.5,Yes,Yes
S0384,Emma,Clark,16,Female,10,77.3,75,55,46,58.67,63.1,0,3,5.8,No,Yes
S0385,Bella,Williams,17,Female,11,74.2,47,79,56,60.67,61.9,3,0,17.4,No,Yes
S0386,Elijah,Walker,16,Male,10,65.7,84,78,40,67.33,87.9,4,0,2.2,Yes,Yes
S0387,Joseph,Walker,12,Male,6,92.3,71,51,41,54.33,89.8,1,2,5.8,No,Yes
S0388,Lincoln,Lewis,18,Male,12,74.3,81,61,76,72.67,61.0,2,1,1.6,Yes,Yes
S0389,Luke,Sanchez,12,Male,6,68.4,88,54,71,71.0,87.0,1,2,15.0,No,Yes
S0390,Zoey,Miller,16,Female,10,78.3,53,100,73,75.33,77.7,1,3,15.9,No,Yes
S0391,Aurora,Ortiz,17,Female,11,91.5,90,48,48,62.0,69.4,3,0,0.9,Yes,Yes
S0392,Carter,Clark,12,Male,6,80.6,63,89,82,78.0,97.3,3,1,11.6,Yes,No
S0393,Chloe,Baker,14,Female,8,81.7,88,75,68,77.0,66.4,2,2,11.7,Yes,Yes
S0394,James,Parker,18,Male,12,88.3,89,44,63,65.33,88.6,2,2,15.4,No,Yes
S0395,Cameron,Cook,15,Male,9,86.7,83,60,67,70.0,79.2,0,1,9.1,Yes,No
S0396,Mila,Brooks,13,Female,7,71.4,82,78,65,75.0,87.8,1,0,18.5,Yes,No
S0397,Camila,Sanchez,13,Female,7,72.5,69,90,42,67.0,76.3,1,0,0.3,Yes,Yes
S0398,Riley,Walker,17,Female,11,52.7,90,99,82,90.33,78.3,2,3,0.4,Yes,Yes
S0399,Avery,Rogers,16,Female,10,84.2,88,75,87,83.33,71.9,2,0,0.9,Yes,No
S0400,Evelyn,Sanchez,12,Female,6,99.2,53,94,52,66.33,85.6,3,0,15.6,Yes,Yes
S0401,Logan,Turner,12,Male,6,82.7,53,79,51,61.0,81.5,5,1,20.0,Yes,Yes
S0402,Evelyn,Green,18,Female,12,86.8,61,71,84,72.0,76.5,0,0,3.0,Yes,No
S0403,Alexander,Miller,12,Male,6,78.1,53,63,49,55.0,66.8,6,0,18.6,No,Yes
S0404,Oliver,Hernandez,16,Male,10,88.4,55,61,92,69.33,92.7,0,1,3.1,Yes,No
S0405,Grayson,Gutierrez,16,Male,10,84.6,81,53,81,71.67,92.7,1,2,14.7,No,No
S0406,Joshua,Turner,15,Male,9,91.6,48,87,50,61.67,81.6,2,1,15.9,No,No
S0407,Ava,Kelly,15,Female,9,63.7,65,99,72,78.67,80.6,1,1,13.6,No,No
S0408,Owen,Green,15,Male,9,86.6,75,73,90,79.33,67.6,2,3,4.8,No,Yes
S0409,Elizabeth,Sanchez,18,Female,12,59.2,58,55,93,68.67,87.8,2,1,19.2,No,Yes
S0410,Grayson,Rogers,17,Male,11,91.5,68,61,87,72.0,91.1,2,0,2.4,No,No
S0411,Carter,Diaz,18,Male,12,89.9,67,85,49,67.0,96.0,1,0,5.4,Yes,No
S0412,Daniel,Wilson,12,Male,6,96.8,76,83,52,70.33,57.3,0,3,12.1,Yes,Yes
S0413,Brooklyn,Wright,14,Female,8,98.9,53,97,63,71.0,82.7,1,3,5.2,No,No
S0414,Ryan,White,16,Male,10,93.1,90,47,79,72.0,71.7,2,2,1.5,No,No
S0415,Luna,Bailey,17,Female,11,95.0,44,54,51,49.67,90.0,0,1,1.0,Yes,No
S0416,Wyatt,Collins,13,Male,7,83.8,69,74,100,81.0,71.1,1,4,15.4,No,No
S0417,Chloe,Nelson,18,Female,12,78.0,93,95,75,87.67,80.2,3,0,15.1,Yes,Yes
S0418,Lily,Brown,17,Female,11,81.1,77,85,66,76.0,75.9,2,0,11.0,Yes,No
S0419,Eli,Stewart,18,Male,12,84.8,43,50,48,47.0,75.5,3,0,19.4,No,Yes
S0420,Ellie,Ortiz,17,Female,11,71.0,59,89,76,74.67,86.4,1,0,15.1,Yes,No
S0421,Hannah,Reyes,14,Female,8,90.9,77,69,41,62.33,73.7,3,1,13.7,No,Yes
S0422,Alexander,Chavez,17,Male,11,95.8,48,66,95,69.67,87.3,7,0,1.6,No,Yes
S0423,Andrew,Nguyen,18,Male,12,89.8,99,69,47,71.67,67.6,0,0,4.5,Yes,No
S0424,Natalie,Lewis,17,Female,11,64.5,89,62,98,83.0,95.9,0,0,5.4,No,No
S0425,Natalie,Edwards,18,Female,12,76.0,81,87,47,71.67,93.9,3,2,11.1,No,Yes
S0426,Grace,Lewis,13,Female,7,90.6,92,93,99,94.67,97.4,0,0,6.9,Yes,No
S0427,Brooklyn,Gomez,16,Female,10,70.9,63,94,55,70.67,82.1,1,2,7.9,No,Yes
S0428,Mia,Johnson,14,Female,8,69.4,75,47,54,58.67,56.1,1,1,5.8,No,Yes
S0429,Charlotte,Smith,16,Female,10,93.2,52,72,59,61.0,93.6,0,0,18.3,No,No
S0430,Grace,Scott,17,Female,11,69.6,92,70,98,86.67,92.0,1,2,15.4,No,Yes
S0431,Nora,Phillips,17,Female,11,86.5,72,61,62,65.0,89.0,1,0,16.9,No,No
S0432,Christian,Young,14,Male,8,76.3,64,72,72,69.33,98.8,0,0,1.6,No,Yes
S0433,Lucas,Sanchez,15,Male,9,94.4,49,92,80,73.67,74.2,2,0,18.6,No,No
S0434,Audrey,Walker,13,Female,7,79.0,56,51,85,64.0,94.8,3,0,2.4,Yes,Yes
S0435,Emma,Anderson,13,Female,7,79.3,49,43,95,62.33,94.5,1,0,19.0,Yes,Yes
S0436,Ellie,Cooper,18,Female,12,89.8,91,78,74,81.0,61.1,6,1,18.5,No,Yes
S0437,Isabella,Howard,17,Female,11,77.7,77,74,94,81.67,92.3,2,0,14.7,Yes,No
S0438,Joshua,Hill,13,Male,7,89.9,60,96,40,65.33,90.1,1,0,3.6,Yes,No
S0439,Harper,Morris,16,Female,10,83.4,52,88,56,65.33,76.0,2,1,5.9,No,No
S0440,Sofia,Kelly,15,Female,9,80.4,73,82,85,80.0,81.8,1,0,8.1,No,No
S0441,Joshua,Ward,16,Male,10,72.6,65,55,62,60.67,68.8,2,0,14.9,Yes,Yes
S0442,Grayson,Kim,15,Male,9,92.2,61,88,63,70.67,72.5,0,0,12.1,No,No
S0443,Hannah,Richardson,18,Female,12,85.9,42,50,86,59.33,84.8,1,2,3.2,Yes,Yes
S0444,Aria,Hill,17,Female,11,95.8,83,45,83,70.33,68.4,3,1,18.8,No,Yes
S0445,Eleanor,Bailey,15,Female,9,85.8,59,49,85,64.33,94.2,1,0,11.5,Yes,No
S0446,Skylar,Smith,18,Female,12,79.2,73,64,58,65.0,72.8,1,1,1.7,Yes,Yes
S0447,Jack,Smith,13,Male,7,80.8,46,64,96,68.67,85.0,1,1,7.6,No,No
S0448,Luna,Campbell,13,Female,7,63.1,71,84,83,79.33,82.2,2,0,5.5,No,No
S0449,Hazel,Roberts,12,Female,6,70.6,56,53,55,54.67,75.9,3,0,0.0,No,Yes
S0450,Camila,Moore,17,Female,11,80.2,84,45,53,60.67,76.2,3,0,4.1,No,Yes
S0451,Jayden,Turner,12,Male,6,91.0,84,70,79,77.67,60.8,4,0,4.6,Yes,Yes
S0452,Lincoln,Hill,18,Male,12,78.7,61,97,80,79.33,91.0,4,1,15.8,Yes,Yes
S0453,Elijah,Cox,15,Male,9,84.0,49,56,78,61.0,73.3,0,3,17.8,No,Yes
S0454,Henry,Allen,13,Male,7,78.5,80,78,62,73.33,80.4,5,3,10.1,No,Yes
S0455,Amelia,Hernandez,12,Female,6,74.8,53,44,95,64.0,75.5,0,0,7.1,Yes,Yes
S0456,Natalie,Hill,14,Female,8,93.8,77,95,62,78.0,83.3,1,1,7.2,Yes,No
S0457,Aurora,Baker,16,Female,10,72.9,43,68,85,65.33,82.6,4,0,3.2,Yes,Yes
S0458,Eli,Perez,14,Male,8,81.2,87,52,47,62.0,85.0,1,0,19.9,Yes,No
S0459,Nora,Wood,15,Female,9,83.7,87,49,46,60.67,85.3,5,1,15.3,Yes,Yes
S0460,Lillian,Turner,18,Female,12,62.3,57,69,40,55.33,82.0,0,1,0.2,No,Yes
S0461,Cameron,Martin,15,Male,9,87.5,94,56,74,74.67,79.8,3,4,19.0,Yes,Yes
S0462,Amelia,Nguyen,16,Female,10,79.0,56,60,95,70.33,94.3,1,4,18.4,No,Yes
S0463,Joseph,Rogers,12,Male,6,84.5,71,68,58,65.67,82.6,2,2,19.9,Yes,Yes
S0464,Natalie,Moore,16,Female,10,85.2,42,72,60,58.0,77.1,1,0,15.2,No,No
S0465,Sophia,Morales,13,Female,7,87.7,72,70,41,61.0,83.6,0,3,16.6,Yes,Yes
S0466,Sebastian,Gutierrez,13,Male,7,87.4,81,40,48,56.33,61.9,6,4,20.0,Yes,Yes
S0467,Elizabeth,Stewart,14,Female,8,89.6,64,68,90,74.0,65.9,2,2,15.8,No,Yes
S0468,Audrey,Chavez,18,Female,12,97.2,80,55,50,61.67,60.6,0,0,19.1,No,Yes
S0469,Eli,King,18,Male,12,81.1,99,56,100,85.0,79.8,1,0,0.4,Yes,No
S0470,Nathan,Adams,16,Male,10,91.2,41,66,80,62.33,86.6,1,1,3.4,Yes,No
S0471,Wyatt,Brown,13,Male,7,76.6,73,95,45,71.0,95.6,3,0,4.1,No,Yes
S0472,Scarlett,Adams,15,Female,9,85.4,62,84,63,69.67,65.8,0,1,11.9,Yes,Yes
S0473,Lincoln,Gutierrez,13,Male,7,84.5,99,78,67,81.33,82.1,2,0,18.4,No,No
S0474,Sebastian,Walker,12,Male,6,85.7,83,97,45,75.0,79.2,0,0,19.0,No,No
S0475,Jayden,Evans,14,Male,8,72.4,55,61,68,61.33,82.0,4,0,3.1,No,Yes
S0476,Elizabeth,Ward,12,Female,6,76.2,47,85,71,67.67,76.9,1,0,3.2,No,Yes
S0477,Sofia,Lewis,16,Female,10,69.5,54,70,67,63.67,82.1,3,0,18.4,Yes,Yes
S0478,Leah,Miller,12,Female,6,90.5,85,42,73,66.67,82.3,0,0,12.2,Yes,No
S0479,Ryan,Rogers,17,Male,11,91.9,94,89,83,88.67,68.8,0,0,9.5,No,No
S0480,Jackson,Lee,13,Male,7,61.9,46,81,65,64.0,86.1,3,1,14.7,No,Yes
S0481,Levi,Cooper,15,Male,9,77.6,73,57,99,76.33,70.0,6,1,12.0,No,Yes
S0482,Audrey,Clark,17,Female,11,89.3,65,94,87,82.0,59.0,2,1,15.3,No,No
S0483,David,Rogers,14,Male,8,89.6,93,49,43,61.67,72.7,3,0,15.2,Yes,Yes
S0484,Joshua,Lewis,18,Male,12,71.5,67,58,50,58.33,85.3,2,1,0.0,No,Yes
S0485,Dylan,Harris,14,Male,8,84.8,82,46,50,59.33,70.5,1,1,5.4,No,No
S0486,Liam,Hall,12,Male,6,66.7,42,67,68,59.0,93.1,0,1,2.0,Yes,Yes
S0487,Sebastian,Collins,15,Male,9,85.1,43,83,47,57.67,96.9,1,0,6.3,No,No
S0488,Elijah,Nelson,15,Male,9,72.8,83,86,72,80.33,95.0,3,0,5.1,No,Yes
S0489,Violet,Watson,17,Female,11,89.8,40,93,65,66.0,69.7,3,1,16.3,No,Yes
S0490,Claire,Richardson,18,Female,12,89.5,50,54,64,56.0,84.6,2,0,18.8,Yes,No
S0491,Anthony,Anderson,15,Male,9,71.2,96,57,77,76.67,64.2,3,2,7.2,No,Yes
S0492,Evelyn,Reed,13,Female,7,87.7,66,56,42,54.67,68.5,1,1,12.2,No,Yes
S0493,Emily,Gomez,16,Female,10,71.2,92,74,40,68.67,94.7,2,0,4.3,No,Yes
S0494,Thomas,Moore,12,Male,6,97.0,59,100,55,71.33,84.9,1,3,16.9,Yes,No
S0495,Leah,Cook,15,Female,9,73.8,49,45,83,59.0,86.1,0,1,3.1,Yes,Yes
S0496,Jack,Peterson,16,Male,10,76.2,55,72,42,56.33,87.1,1,1,9.2,Yes,Yes
S0497,Victoria,Cruz,17,Female,11,93.5,50,51,84,61.67,83.0,2,0,2.9,No,No
S0498,Jaxon,Cook,12,Male,6,90.6,100,92,98,96.67,72.1,3,0,9.1,Yes,No
S0499,James,Campbell,16,Male,10,85.5,91,94,73,86.0,63.7,0,2,17.2,No,Yes
S0500,Violet,Campbell,12,Female,6,86.3,66,63,72,67.0,90.6,4,1,10.5,Yes,Yes
S0501,Liam,Jones,16,Male,10,95.3,55,45,61,53.67,94.2,1,0,4.9,Yes,No
S0502,Christopher,Brooks,15,Male,9,87.7,56,74,58,62.67,76.9,1,0,17.7,No,No
S0503,John,Anderson,16,Male,10,90.3,55,67,81,67.67,81.2,1,0,1.0,Yes,No
S0504,Liam,Mitchell,12,Male,6,88.8,90,83,83,85.33,90.7,0,1,13.7,Yes,No
S0505,Carter,Miller,12,Male,6,77.4,50,40,52,47.33,90.5,1,0,13.6,No,Yes
S0506,Ellie,Reed,12,Female,6,91.8,51,91,50,64.0,91.6,0,0,19.6,Yes,No
S0507,Nolan,Stewart,12,Male,6,81.2,92,88,76,85.33,90.6,0,1,4.8,Yes,No
S0508,Anthony,Nelson,17,Male,11,89.3,73,83,98,84.67,85.2,0,2,12.2,Yes,No
S0509,Avery,Lee,13,Female,7,91.6,50,87,40,59.0,81.9,5,0,15.6,Yes,Yes
S0510,Eli,King,14,Male,8,75.9,76,46,82,68.0,93.6,1,1,2.8,No,Yes
S0511,Olivia,Morris,17,Female,11,96.0,72,41,99,70.67,90.6,2,2,0.9,No,No
S0512,Natalie,Reyes,17,Female,11,64.2,48,77,71,65.33,68.0,3,0,11.6,No,Yes
S0513,Logan,Phillips,17,Male,11,92.2,43,96,57,65.33,83.0,3,1,10.2,Yes,Yes
S0514,Joseph,Morales,15,Male,9,75.2,74,61,92,75.67,86.2,4,1,5.1,Yes,Yes
S0515,Ryan,Jones,15,Male,9,85.8,97,92,84,91.0,55.8,0,0,18.5,Yes,No
S0516,Riley,Jackson,15,Female,9,91.4,68,49,85,67.33,84.2,0,0,2.8,No,No
S0517,David,Johnson,16,Male,10,93.3,96,92,98,95.33,85.6,1,0,5.7,No,No
S0518,Lily,Harris,15,Female,9,81.0,76,51,83,70.0,75.9,0,1,8.7,Yes,No
S0519,Isaac,King,17,Male,11,89.4,40,97,41,59.33,77.4,1,2,17.8,Yes,Yes
S0520,Brooklyn,Roberts,17,Female,11,87.9,97,100,83,93.33,89.4,2,1,3.2,No,No
S0521,Riley,Murphy,17,Female,11,88.1,54,76,56,62.0,68.1,1,0,3.6,No,Yes
S0522,Nolan,Ortiz,12,Male,6,84.2,55,65,99,73.0,94.2,0,0,18.8,No,No
S0523,Sebastian,Murphy,13,Male,7,89.6,54,58,97,69.67,73.7,5,1,6.6,Yes,Yes
S0524,Mila,Thomas,12,Female,6,75.7,57,50,42,49.67,75.5,3,1,16.7,Yes,Yes
S0525,Elizabeth,Thomas,15,Female,9,83.3,71,86,93,83.33,66.7,3,1,16.7,Yes,Yes
S0526,Cameron,Phillips,16,Male,10,90.1,57,72,76,68.33,78.8,3,1,19.9,Yes,Yes
S0527,Nolan,Lee,12,Male,6,88.2,46,94,46,62.0,82.3,1,0,15.5,No,No
S0528,Olivia,King,16,Female,10,96.7,76,78,50,68.0,52.6,0,0,0.7,No,Yes
S0529,Lillian,Bailey,15,Female,9,68.7,90,84,56,76.67,78.5,5,0,19.5,Yes,Yes
S0530,Savannah,Martinez,13,Female,7,82.5,77,59,100,78.67,82.3,1,1,12.7,Yes,No
